,wiki_team_url,name_x,Fullname,Nickname(s),Founded_x,Ground,Capacity,Owner,Chairman,Manager,League,2020–21,Website,Homecolours,Headcoach,Shortname,Coordinates,Architect,Expanded,Maincontractors,Renovated,HeadCoach,CEO,Owner(s),Joint-Chairman,Co-chairmen,Owners,Stadium,Anear-fullcapacity,Location,Opened,id,name_y,world_team_url,Country,Founded_y,stadium,Homepage,name,who_team_url
20,https://en.wikipedia.org/wiki/Swansea_City,Swansea City,SwanseaCityAssociationFootballClub,"['TheSwans', 'TheJacks']",{'1912'},['Swansea.comStadium'],21088,,JulianWinter,,['EFLChampionship'],"['EFLChampionship', '4thof24']",https://www.swanseacity.com/,['Awaycolours'],['RussellMartin'],,,,,,,,,"['Investorgroupledby', 'JasonLevien', '&', 'StevenKaplan', '(68%)SwanseaCitySupportersTrust(21.1%)']",,,,,,,,20,Swansea City,https://www.worldfootball.net/teams/swansea-city/,['Wales'],['1912'],['LibertyStadium'],['https//www.swanseacity.com/'],Swansea,https://www.whoscored.com/Teams/259/Show/Wales-Swansea
21,https://en.wikipedia.org/wiki/Blackpool_FC,Blackpool F.C.,BlackpoolFootballClub,"[""TheSeasidersThe'PoolTheTangerines""]",{'1887-07-26'},['BloomfieldRoad'],16616,['SimonSadler'],,,['EFLChampionship'],"['EFLLeagueOne', '3rdof24(promotedviaplay-offs)']",http://www.blackpoolfc.co.uk/,['Awaycolours'],['NeilCritchley'],,,,,,,,,,,,,,,,,21,Blackpool FC,https://www.worldfootball.net/teams/blackpool-fc/,['England'],['26/07/1887'],['BloomfieldRoad'],['www.blackpoolfc.co.uk'],Blackpool,https://www.whoscored.com/Teams/93/Show/England-Blackpool
22,https://en.wikipedia.org/wiki/Hull_City,Hull City,HullCityAssociationFootballClub,['TheTigers'],{'1904'},['MKMStadium'],25586,['AssemAllam'],AssemAllam,['GrantMcCann'],['EFLChampionship'],"['EFLLeagueOne', '1stof24(promoted)']",http://www.hullcitytigers.com,"['Awaycolours', 'Thirdcolours']",,,,,,,,,,,,,,,,,,22,Hull City,https://www.worldfootball.net/teams/hull-city/,['England'],['01/01/1904'],['KingstonCommunicationsStadium'],['https//www.hullcitytigers.com/'],Hull,https://www.whoscored.com/Teams/214/Show/England-Hull
23,https://en.wikipedia.org/wiki/West_Ham_United,West Ham United F.C.,WestHamUnitedFootballClub,"['TheIronsTheHammersThe', 'Cockney', 'Boys', 'TheAcademyofFootball']","{'1900-07-05', '1895-06-29'}",['LondonStadium'],60000,,,['DavidMoyes'],['PremierLeague'],"['PremierLeague', '6thof20']",http://www.whufc.com/,"['Awaycolours', 'Thirdcolours']",,['WestHam'],,,,,,,,"['DavidSullivan', '(38.8%)', 'DanielKřetínský', '(27%)', 'DavidGold', '(25.1%)', ""Albert'Tripp'Smith(8%)"", 'Otherinvestors(1.1%)']",,['DavidSullivanandDavidGold'],,,,,,23,West Ham United,https://www.worldfootball.net/teams/west-ham-united/,['England'],['01/01/1895'],['LondonStadium'],['https//www.whufc.com/'],West Ham,https://www.whoscored.com/Teams/29/Show/England-West-Ham
24,https://en.wikipedia.org/wiki/Queens_Park_Rangers,Queens Park Rangers,QueensParkRangersFootballClub,"['TheRs', 'Rangers', 'TheHoops', 'Superhoops']","{'1882', '1886'}",['KiyanPrinceFoundationStadium'],18439,"['TotalSoccerGrowth', '(51%)', 'TuneGroup', '(46%)', 'SeaDream', '(3%)']",AmitBhatia,['MarkWarburton'],['EFLChampionship'],"['EFLChampionship', '9thof24']",http://www.qpr.co.uk/,['Awaycolours'],,['QPR'],,,,,,,,,,,,,,,,24,Queens Park Rangers,https://www.worldfootball.net/teams/queens-park-rangers/,['England'],['01/01/1882'],['LoftusRoad'],['www.qpr.co.uk'],Queens Park Rangers,https://www.whoscored.com/Teams/171/Show/England-Queens-Park-Rangers
25,https://en.wikipedia.org/wiki/Crystal_Palace_F.C.,Crystal Palace,CrystalPalaceFootballClub,['TheEaglesTheGlaziers'],{'1905-09-10'},['SelhurstPark'],25486,,SteveParish,['PatrickVieira'],['PremierLeague'],"['PremierLeague', '14thof20']",http://www.cpfc.co.uk/,"['Awaycolours', 'Thirdcolours']",,,,,,,,,,,,,"['SteveParish', 'JoshuaHarris', 'DavidS.Blitzer', 'JohnTextor', '[4]']",,,,,25,Crystal Palace,https://www.worldfootball.net/teams/crystal-palace/,['England'],['01/01/1905'],['SelhurstPark'],['https//www.cpfc.co.uk/'],Crystal Palace,https://www.whoscored.com/Teams/162/Show/England-Crystal-Palace
26,https://en.wikipedia.org/wiki/Southampton_FC,Southampton,SouthamptonFootballClub,['TheSaints'],{'1885-11-21'},"[""StMary'sStadium""]",32384,,GaoJisheng,['RalphHasenhüttl'],['PremierLeague'],"['PremierLeague', '15thof20']",https://southamptonfc.com,"['Awaycolours', 'Thirdcolours']",,,,,,,,,,,,,,,,,,26,Southampton FC,https://www.worldfootball.net/teams/southampton-fc/,['England'],['01/01/1885'],"[""SaintMary's""]",['https//southamptonfc.com/'],Southampton,https://www.whoscored.com/Teams/18/Show/England-Southampton
27,https://en.wikipedia.org/wiki/Norwich_City,Norwich City,NorwichCityFootballClub,"['TheCanaries', 'TheYellows']",{'1902-06-17'},['CarrowRoad'],27359,"['DeliaSmith', 'MichaelWynn-Jones']",,,['PremierLeague'],"['EFLChampionship', '1stof24(promoted)']",http://www.canaries.co.uk/,"['Awaycolours', 'Thirdcolours']",['DeanSmith'],,,,,,,,,,,,,,,,,27,Norwich City,https://www.worldfootball.net/teams/norwich-city/,['England'],['17/06/1902'],['CarrowRoad'],['www.canaries.co.uk'],Norwich,https://www.whoscored.com/Teams/168/Show/England-Norwich
28,https://en.wikipedia.org/wiki/Reading_FC,Reading F.C.,ReadingFootballClub,"['TheRoyals', 'The‘Ding(unofficial)', 'TheBiscuitmen(historic)', 'TheKennetsiders(historic)']",{'25-12-1871'},['SelectCarLeasingStadium'],24161,"['DaiYongge', 'andDaiXiuli(majority)']",,['VeljkoPaunović'],['EFLChampionship'],"['EFLChampionship', '7thof24']",http://www.readingfc.co.uk/,['Awaycolours'],,,,,,,,,,,,,,,,,,28,Reading FC,https://www.worldfootball.net/teams/reading-fc/,['England'],['1871'],['SelectCarLeasingStadium'],['www.readingfc.co.uk'],Reading,https://www.whoscored.com/Teams/94/Show/England-Reading
29,https://en.wikipedia.org/wiki/Watford_FC,Watford,WatfordFootballClub,"[""TheHornetsTheGoldenBoysYellowArmyThe'Orns""]",{'1881'},['VicarageRoad'],22200,['GinoPozzo'],ScottDuxbury,,['PremierLeague'],"['EFLChampionship', '2ndof24(promoted)']",http://www.watfordfc.com/,"['Awaycolours', 'Thirdcolours']",['ClaudioRanieri'],,,,,,,,,,,,,,,,,29,Watford FC,https://www.worldfootball.net/teams/watford-fc/,['England'],['1881'],['VicarageRoad'],['https//www.watfordfc.com/'],Watford,https://www.whoscored.com/Teams/27/Show/England-Watford
